"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.52187422812599e-181,0.545852744528468,0.783,0.635,3.81290369114686e-177,"11","Anxa5"
5.72426917567095e-181,0.563900875528856,0.792,0.669,1.4341583992726e-176,"11","Ube2d3"
7.26148001205717e-181,0.688721776462205,0.478,0.28,1.8192912022208e-176,"11","Jarid2"
1.41602414338272e-180,0.805161405748309,0.295,0.138,3.54770688883107e-176,"11","Lbh"
3.28573971937659e-179,0.317378241683834,0.946,0.853,8.23209229292611e-175,"11","Rpl31"
2.04893864597471e-178,0.92704903813814,0.361,0.192,5.13341088362503e-174,"11","Dnm2"
4.72219060401662e-175,1.16104755980734,0.291,0.144,1.18309763393032e-170,"11","Mfsd14b"
1.06380008613756e-174,1.06946751569345,0.297,0.147,2.66524473580903e-170,"11","Akna"
3.4629362182824e-174,0.867048911255721,0.481,0.303,8.67604040128473e-170,"11","Bola2"
8.33196395062816e-173,0.734258730527193,0.288,0.136,2.08749024819038e-168,"11","H2-T22"
2.22036026423913e-172,0.97282319978466,0.421,0.252,5.56289060602472e-168,"11","Itch"
2.72344166059816e-169,1.15370486619421,0.358,0.2,6.82331073646263e-165,"11","Agpat4"
1.10044375991151e-168,0.841998693808084,0.448,0.273,2.75705179608231e-164,"11","Fam32a"
2.86209771964155e-168,1.22318247480869,0.267,0.13,7.17069962678995e-164,"11","Ahr"
3.56556777493201e-168,0.573180374514741,0.559,0.354,8.93317350331466e-164,"11","S100a13"
4.13326868432948e-168,1.17790388160147,0.253,0.119,1.03554913617191e-163,"11","Bscl2"
3.29584953766783e-166,0.626348192423236,0.464,0.282,8.25742143167298e-162,"11","Resf1"
5.66414977241515e-166,0.543387307339723,0.419,0.228,1.41909608398089e-161,"11","Clec2d"
7.30059802399132e-166,0.746455248757118,0.555,0.381,1.82909182893079e-161,"11","Prelid1"
1.96914766678532e-165,0.78662700872243,0.283,0.135,4.93350256436395e-161,"11","Lgals9"
5.06936487848219e-165,0.989993099940662,0.348,0.19,1.27007867665493e-160,"11","Akt1"
5.93576592772474e-165,1.00052101547067,0.354,0.196,1.48714679553216e-160,"11","Atad2b"
3.99660299235111e-164,0.786636434181479,0.376,0.208,1.00130891370365e-159,"11","Cdc42ep3"
4.46411068540549e-164,0.981493631949611,0.306,0.158,1.11843829112149e-159,"11","Cndp2"
1.06542504010638e-163,0.80452463003873,0.472,0.295,2.66931589548253e-159,"11","Rab8a"
1.10848765763646e-161,0.350625494396131,0.959,0.917,2.77720497744238e-157,"11","Atp5e"
1.26173523177369e-161,0.738302132252944,0.34,0.177,3.16115144968581e-157,"11","Lmo2"
2.87370161234172e-161,0.909564418989464,0.406,0.24,7.19977201956095e-157,"11","Aup1"
6.90519098146212e-161,1.03340696568995,0.3,0.154,1.73002654849552e-156,"11","Mpp6"
